keysizex, offsetx, r-square-x, keysizey, offsety, r-square-y,mode,subject,touch-model,keyboard-layout,point
10.748759157991458,14.445267857308487,0.9288041436188598,17.994722147517788,182.42103356333666,0.9471817943844913,hover,wangchen1,absolute,whole,all
10.312557754534101,16.351558534555902,0.9206523664728569,15.151074744597565,179.41481275268782,0.9490294070421371,place,wangchen1,absolute,whole,all
9.153674886034384,25.450470080352712,0.9195309623567764,16.09381930825678,168.94546608560236,0.8787490845802024,hover,cai,absolute,whole,all
7.033355192643498,33.70869404762203,0.7722410429684625,12.83905679447531,176.21652021856505,0.8018153241979719,place,cai,absolute,whole,all
7.971138453003724,22.598297021161684,0.8776736379330192,17.1262160407819,168.23797061193895,0.8423797194238528,hover,czt,absolute,whole,all
7.940401450735568,25.38999544853945,0.8685295755377305,17.78731959061286,162.1788463406524,0.8653457128757416,place,czt,absolute,whole,all
10.820044413333838,16.08834928160159,0.8947416215964663,19.4294509937617,184.61169138330655,0.8842711460096412,hover,fjy,absolute,whole,all
11.367440047453792,17.025543935486994,0.9018609821143545,18.741881972425226,185.82578199632886,0.9112388480849718,place,fjy,absolute,whole,all
9.657218953793791,15.542314221434122,0.9001735583180244,19.6541014508224,178.92113508299332,0.8492407231550633,hover,fsq,absolute,whole,all
8.00453417732757,21.187753965594,0.8671099222271034,16.647310747171648,164.2911727351055,0.862444464743317,place,fsq,absolute,whole,all
10.010662945984576,20.104790932507598,0.9729353444497358,17.90663619210864,183.26679293183605,0.9371408024025973,hover,gsh,absolute,whole,all
9.246961618031333,24.09229775808215,0.9700884223941733,15.971844006601813,183.08181934605676,0.9473083388242385,place,gsh,absolute,whole,all
11.49234447219203,12.009967163342898,0.9361924290915047,17.899229512159348,180.26103202987002,0.927527216742356,hover,lc,absolute,whole,all
10.590907589364864,11.90144230974172,0.9336241559333499,16.52221764378426,162.96900389101697,0.7411604783901389,place,lc,absolute,whole,all
5.419664966593644,37.999705869900524,0.7244093390156946,14.618774659934216,175.1823691860353,0.8577763417003675,hover,luyiqin,absolute,whole,all
6.544584486989076,18.222193887674784,0.8549762168382729,13.528510560773697,184.36336017916236,0.9257610670962664,place,luyiqin,absolute,whole,all
8.856296778853007,10.649259071573402,0.9191404084110854,13.151185014426268,177.12084796065346,0.8530396410729468,hover,lwk,absolute,whole,all
8.869934807944562,28.17999941617283,0.9316367232035919,11.239815148670203,178.00895829667976,0.8293523575458277,place,lwk,absolute,whole,all
11.09260586884067,12.716458533328069,0.9588555270097633,18.874904812376478,160.05298785905003,0.912562551896795,hover,lxy,absolute,whole,all
9.691554277475749,12.281149675551815,0.9466843046806721,17.52223618616263,151.99039567978764,0.9008030208752672,place,lxy,absolute,whole,all
9.173643025622217,20.99507534711125,0.915111634016536,16.718363736672657,186.52973772805984,0.8543710478326969,hover,qdn,absolute,whole,all
8.032973181575505,24.949305637455968,0.9143445798415731,15.761270039951446,195.14718196166794,0.9081475880875072,place,qdn,absolute,whole,all
