name,mode,x,y
lwk,place,7.601781081989249,4.960112538021495
cai,place,12.61455063703223,6.207828393113364
wyd,place,9.014677334386398,4.523525016806858
czt,place,9.652376898218561,7.144526692118518
gsh,place,5.270910442107663,3.8228377457395335
lc,place,8.567523274387083,10.447096375062669
fsq,place,10.00343748155406,7.293607838895325
lxy,place,6.8231814169646885,5.942187341294883
fjy,place,12.054160042733143,5.937577620780607
qdn,place,7.524141310152787,5.051602800866966
wangchen1,place,7.970447906093617,3.2893393238447484
luyiqin,place,8.260845966772282,3.348610922051317
lwk,hover,8.208024634894596,5.228134080955238
cai,hover,9.156271343535092,5.641805526267154
wyd,hover,9.093357187791753,4.955446571550436
czt,hover,9.34974424956604,7.860412908039905
gsh,hover,5.256108046665658,4.667100507464577
lc,hover,8.998542884131863,4.938658417870612
fsq,hover,11.130320595670545,8.134579926633162
lxy,hover,6.171078801693461,5.757831084487403
fjy,hover,12.1845182597382,7.710287278488985
qdn,hover,8.774234953416059,7.330282355320168
wangchen1,hover,7.912947593735432,4.010648394334108
luyiqin,hover,12.777475899956547,6.095432954364526
