the,0.05968514106369889,3
of,0.03000445395641014,2
and,0.02955174378423003,3
to,0.0264072861428777,2
a,0.024348937534694602,1
in,0.02028774179467755,2
i,0.017196215659264626,1
that,0.016806173227076258,4
it,0.012641733868098049,2
is,0.011304014847312128,2
for,0.010132948523097313,3
you,0.008871883812033155,3
was,0.007842067015339165,3
with,0.007458894311746109,4
on,0.0070530860995440476,2
as,0.006199658233473509,2
have,0.005827061946566757,4
but,0.005715268233742367,3
be,0.005380381320347997,2
they,0.005291025426101094,4
are,0.005275556181134677,3
at,0.0049985430244677,2
by,0.0048984624460108525,2
he,0.0048780015277485635,2
not,0.0048143453375992205,3
this,0.004787657183344061,4
we,0.0047077409881022235,2
or,0.0046549577496864634,2
do,0.004409723265586278,2
from,0.004384221251520237,4
an,0.003661515918792098,2
so,0.0036180735343656445,2
uh,0.0035504141210780274,2
were,0.0034357539027966024,4
know,0.0034017017948673343,4
like,0.0031358581249812194,4
all,0.003098148751468837,3
there,0.0030415105574384434,5
his,0.0029482502850690256,3
about,0.0029312489423583316,5
if,0.0028406080629065494,2
has,0.0028387300076071122,3
what,0.002770774059272216,4
just,0.0027692419615279384,4
yeah,0.0026980735501808467,4
my,0.00264351110148141,2
had,0.002601501969783474,3
would,0.0025645833563971705,5
more,0.0025080934298904165,4
when,0.00234193495839811,4
can,0.0023281460786996108,3
who,0.0022976523913376973,3
out,0.002238147691850268,3
which,0.002233057173538636,5
said,0.0022015256135112437,4
their,0.0021881321138757844,5
no,0.002142268026563214,2
she,0.0020724340229288808,3
up,0.0020549878776472672,2
been,0.002052516752253271,4
think,0.002034032734306179,5
well,0.0020130281684572113,4
than,0.0018716303734127467,4
some,0.0018712349933497074,4
will,0.0018709384583024279,4
because,0.001851861370260777,7
other,0.0018431630088739102,5
did,0.0017922578257575878,3
new,0.0017709073023534604,3
me,0.0017617641383956741,2
s,0.00173171525360468,1
time,0.0017177781063825413,4
her,0.0016616835599388268,3
them,0.0016515025233155623,4
also,0.0016277797195331984,4
people,0.0016271866494386395,6
get,0.0015714874830579644,3
right,0.0015611087564031802,5
these,0.0015189019346737245,5
its,0.001513317191283293,3
now,0.0015043717173570267,3
then,0.0014738286074872332,4
could,0.0014699242293647191,5
only,0.0014416545548574023,4
um,0.0014363169240063703,2
really,0.0014315723632498975,6
into,0.0014060209266759766,4
how,0.0013509642528977406,3
see,0.0013196303829018682,3
your,0.001286962105193238,4
oh,0.0012588901207174407,2
most,0.001229977953607685,4
good,0.001208232050140518,4
after,0.0011917249325086232,5
even,0.0011861401891181918,4
much,0.0011696824939941767,4
our,0.0011692376914232575,3
here,0.0011569809094690363,4
where,0.001149172153224008,5
over,0.0011307375577847961,4
him,0.0011292548825483984,3
may,0.0011179371282438958,3
does,0.001111116822156466,4
go,0.0011023690382617195,2
any,0.0010854665405667853,3
first,0.001055417655775791,5
years,0.0010183013523579676,5
way,0.0010156325369324517,3
those,0.0010051055427540278,5
too,0.0010045618951673486,3
very,0.0009871651723936151,4
many,0.0009669513666707259,4
going,0.0009644802412767297,5
should,0.0009357163416906135,6
such,0.0009087316523881747,4
got,0.0009080397372778558,3
used,0.0009076443572148163,4
year,0.0009066559070572178,4
work,0.0008993907983988688,4
make,0.0008963266029103136,4
say,0.0008784356550577808,3
back,0.000868452308466036,4
last,0.0008676121258320773,4
little,0.0008460639123964302,6
still,0.0008384528461829217,5
between,0.0008218468835352671,7
something,0.000804203048222134,9
mean,0.000802176725399057,4
both,0.000796987362071665,4
each,0.0007768724013645356,4
lot,0.0007721772631159429,3
before,0.0007703486303243856,6
being,0.0007551264978973688,5
same,0.0007410410831515903,4
through,0.0007385205352497141,7
thing,0.0007304152439574065,5
want,0.0007297727513549675,4
use,0.0007239903179330163,3
while,0.0007236443603778569,5
times,0.0007229524452675379,5
c,0.0007184055745425848,1
down,0.0007177136594322659,4
things,0.0007162804067037481,6
take,0.000705110919922885,4
cells,0.0006957700659335793,5
made,0.0006843534666133167,4
off,0.0006832167489320784,3
day,0.000677582583033767,3
kind,0.0006755562602106901,4
data,0.0006755068377028102,4
us,0.0006682417290444613,2
never,0.00065593552458236,5
since,0.0006425914474547803,5
might,0.000634337888638833,5
okay,0.0006246510770943677,4
p,0.0006229707118264502,1
world,0.0006174848134517787,5
another,0.0006069578192733547,7
different,0.0006067107067339551,9
using,0.0006018178784538426,5
around,0.000600236358201685,6
why,0.0005971721627131296,3
ca,0.0005865957460268258,2
house,0.0005863486334874261,5
need,0.0005604512393583456,4
though,0.0005591662541534675,6
long,0.0005566951287594714,4
says,0.0005520494130187584,4
during,0.0005425108689979329,6
number,0.0005412753063009348,6
part,0.0005410281937615352,4
home,0.0005382605333202594,4
state,0.0005381616883044996,5
life,0.0005270416240315166,4
big,0.0005236808934956816,3
come,0.00051824441762889,4
york,0.000516959432424012,4
found,0.0005154273346797343,5
american,0.0005097437462735429,8
under,0.0005086070285923046,5
u,0.0005068772408165072,1
information,0.0005047026504697905,11
president,0.0005043566929146311,9
however,0.0005007982723472766,7
own,0.0004988213720320796,3
percent,0.0004963996691459633,7
b,0.0004961031340986837,1
every,0.000495905444067164,5
probably,0.0004920504884525299,8
high,0.0004881461103300158,4
study,0.00048419230969962184,5
always,0.00047920063640374946,6
story,0.0004760375958994343,5
better,0.0004735664705054381,6
thought,0.000470996500095682,7
few,0.00047074938755628233,3
look,0.00047040343000112286,4
less,0.0004698103599065638,4
t,0.0004690690222883649,1
against,0.00046887133225684524,7
government,0.00046857479720956564,10
show,0.00046773461457560696,4
end,0.0004656588692446501,3
