subject, mode, x, y, char
czt,place,16.47289743589744,162.04528205128207,a
czt,place,10.432897435897441,161.46528205128203,a
czt,place,19.92289743589744,156.12528205128206,a
czt,place,25.97289743589744,158.13528205128205,a
czt,place,23.54289743589744,155.81528205128205,a
czt,place,22.052897435897442,156.44528205128205,a
czt,place,25.02289743589744,155.27528205128203,a
czt,place,13.352897435897441,156.01528205128204,a
czt,place,27.54289743589744,151.25528205128205,a
czt,place,15.842897435897441,151.95528205128204,a
czt,place,16.36289743589744,151.45528205128204,a
czt,place,23.12289743589744,155.77528205128203,a
czt,place,23.19289743589744,153.89528205128204,a
czt,place,19.54289743589744,146.44528205128205,a
czt,place,19.54289743589744,146.24528205128206,a
czt,place,19.54289743589744,146.52528205128203,a
czt,place,19.52289743589744,155.43528205128206,a
czt,place,23.02289743589744,156.11528205128207,a
czt,place,12.74289743589744,148.09528205128203,a
czt,place,11.54289743589744,150.95528205128204,a
czt,place,15.23289743589744,147.08528205128204,a
czt,place,18.622897435897443,143.38528205128205,a
czt,place,35.692897435897436,157.49528205128206,a
czt,place,11.42289743589744,157.74528205128206,a
czt,place,15.24289743589744,154.72528205128208,a
czt,place,25.962897435897442,155.41528205128208,a
czt,place,22.49289743589744,151.11528205128207,a
czt,place,20.02289743589744,159.95528205128204,a
czt,place,22.79289743589744,148.94528205128205,a
czt,place,19.42289743589744,155.30528205128206,a
czt,place,23.34289743589744,157.70528205128204,a
czt,place,21.12289743589744,156.05528205128206,a
czt,place,19.94289743589744,154.60528205128207,a
czt,place,23.54289743589744,156.45528205128204,a
czt,place,23.91289743589744,155.30528205128206,a
czt,place,19.28289743589744,159.45528205128204,a
czt,place,27.54289743589744,157.45528205128204,a
czt,place,21.302897435897442,157.94528205128205,a
czt,place,17.92289743589744,155.76528205128204,a
czt,place,15.91289743589744,158.82528205128204,a
czt,place,12.29289743589744,159.50528205128205,a
czt,place,8.192897435897441,163.45528205128204,a
czt,place,18.53289743589744,163.45528205128204,a
czt,place,7.542897435897441,160.94528205128205,a
czt,place,11.10289743589744,161.99528205128206,a
czt,place,16.57289743589744,159.80528205128206,a
czt,place,23.142897435897442,167.63528205128205,a
czt,place,22.87289743589744,165.69528205128205,a
czt,place,23.43289743589744,157.06528205128205,a
czt,place,28.09289743589744,156.37528205128206,a
czt,place,28.02289743589744,156.93528205128206,a
czt,place,30.052897435897442,158.96528205128203,a
czt,place,26.962897435897442,155.71528205128203,a
czt,place,27.54289743589744,155.04528205128207,a
czt,place,31.83289743589744,162.42528205128207,a
czt,place,28.052897435897442,163.61528205128207,a
czt,place,23.15289743589744,154.84528205128203,a
czt,place,20.93289743589744,155.10528205128207,a
czt,place,20.51289743589744,150.98528205128207,a
czt,place,18.75289743589744,151.79528205128207,a
czt,place,18.012897435897443,158.14528205128204,a
czt,place,26.36289743589744,154.04528205128207,a
czt,place,35.462897435897446,162.43528205128206,a
czt,place,28.962897435897442,163.77528205128203,a
czt,place,23.22289743589744,161.47528205128208,a
czt,place,24.19289743589744,156.87528205128206,a
czt,place,27.40289743589744,158.70528205128204,a
czt,place,22.40289743589744,160.23528205128207,a
czt,place,34.17289743589744,156.10528205128207,a
czt,place,25.13289743589744,154.71528205128203,a
czt,place,26.27289743589744,157.94528205128205,a
czt,place,19.54289743589744,154.66528205128208,a
czt,place,15.96289743589744,158.60528205128207,a
czt,place,14.97289743589744,152.02528205128203,a
czt,place,17.14289743589744,152.69528205128205,a
czt,place,28.22289743589744,158.03528205128208,a
czt,place,23.15289743589744,162.50528205128205,a
czt,place,24.79289743589744,156.03528205128208,a
czt,place,29.15289743589744,157.94528205128205,a
czt,place,23.052897435897442,155.95528205128204,a
czt,place,22.69289743589744,150.84528205128203,a
czt,place,21.052897435897442,152.17528205128207,a
czt,place,25.42289743589744,154.05528205128206,a
czt,place,25.052897435897442,149.91528205128208,a
czt,place,26.75289743589744,152.55528205128206,a
czt,place,21.51289743589744,156.10528205128207,a
czt,place,27.54289743589744,151.93528205128206,a
czt,place,30.40289743589744,148.27528205128203,a
czt,place,16.47289743589744,146.39528205128204,a
czt,place,22.50289743589744,146.17528205128207,a
czt,place,24.13289743589744,148.22528205128208,a
czt,place,24.00289743589744,148.39528205128204,a
czt,place,27.54289743589744,151.90528205128203,a
czt,place,22.24289743589744,155.28528205128208,a
czt,place,20.66289743589744,151.63528205128205,a
czt,place,58.23289743589744,142.40528205128206,b
czt,place,55.97289743589744,138.88528205128205,b
czt,place,54.402897435897444,138.83528205128204,b
czt,place,53.03289743589744,130.96528205128206,b
czt,place,61.572897435897445,131.89528205128204,b
czt,place,48.00289743589744,129.93528205128206,b
czt,place,44.542897435897444,139.53528205128205,b
czt,place,42.63289743589745,127.12528205128206,b
czt,place,52.442897435897436,131.19528205128205,b
czt,place,38.73289743589744,142.96528205128206,b
czt,place,47.11289743589744,135.33528205128204,b
czt,place,51.052897435897435,139.91528205128205,b
czt,place,46.38289743589745,139.14528205128204,b
czt,place,45.67289743589744,139.45528205128204,b
czt,place,38.09289743589744,148.86528205128207,b
czt,place,37.042897435897444,142.95528205128204,b
czt,place,44.92289743589744,135.70528205128204,b
czt,place,47.62289743589744,135.77528205128203,b
czt,place,43.522897435897434,139.38528205128205,b
czt,place,43.522897435897434,151.22528205128208,b
czt,place,36.412897435897435,137.71528205128206,b
czt,place,25.02289743589744,147.46528205128203,b
czt,place,38.332897435897436,142.90528205128206,b
czt,place,42.542897435897444,145.44528205128205,b
czt,place,46.072897435897445,134.12528205128206,b
czt,place,42.682897435897445,137.85528205128207,b
czt,place,51.302897435897435,146.43528205128206,c
czt,place,37.78289743589744,135.70528205128204,c
czt,place,48.48289743589744,137.55528205128206,c
czt,place,42.182897435897445,133.40528205128206,c
czt,place,43.14289743589744,145.59528205128203,c
czt,place,61.47289743589744,138.16528205128205,c
czt,place,31.54289743589744,139.05528205128206,c
czt,place,38.912897435897435,142.36528205128207,c
czt,place,48.542897435897444,139.45528205128204,c
czt,place,36.152897435897444,143.54528205128207,c
czt,place,38.98289743589744,143.16528205128205,c
czt,place,50.50289743589744,143.15528205128206,c
czt,place,46.47289743589744,143.66528205128208,c
czt,place,30.53289743589744,139.06528205128205,c
czt,place,34.292897435897444,142.60528205128207,c
czt,place,39.88289743589745,145.63528205128205,c
czt,place,39.12289743589744,145.56528205128205,c
czt,place,43.542897435897444,143.45528205128204,c
czt,place,43.03289743589744,139.95528205128204,c
czt,place,37.73289743589744,142.79528205128207,c
czt,place,47.902897435897444,147.09528205128203,c
czt,place,36.682897435897445,143.91528205128208,c
czt,place,47.74289743589745,142.75528205128205,c
czt,place,34.73289743589744,142.22528205128205,c
czt,place,30.19289743589744,144.60528205128207,c
czt,place,43.442897435897436,139.74528205128206,c
czt,place,32.60289743589744,149.27528205128203,c
czt,place,33.45289743589744,139.15528205128206,c
czt,place,36.36289743589744,136.78528205128205,c
czt,place,45.47289743589744,139.09528205128206,c
czt,place,41.78289743589744,137.47528205128205,c
czt,place,35.462897435897446,157.56528205128205,d
czt,place,35.02289743589744,159.66528205128208,d
czt,place,44.082897435897436,155.81528205128205,d
czt,place,50.322897435897445,153.03528205128208,d
czt,place,51.542897435897444,155.84528205128203,d
czt,place,51.542897435897444,151.45528205128204,d
czt,place,48.272897435897434,151.86528205128207,d
czt,place,49.61289743589744,154.96528205128203,d
czt,place,29.60289743589744,161.64528205128204,d
czt,place,41.822897435897445,154.72528205128208,d
czt,place,50.10289743589745,147.11528205128207,d
czt,place,48.36289743589744,146.39528205128204,d
czt,place,40.56289743589744,154.45528205128204,d
czt,place,38.22289743589744,140.31528205128205,d
czt,place,36.662897435897435,150.47528205128208,d
czt,place,49.86289743589744,149.13528205128205,d
czt,place,42.92289743589744,139.82528205128204,d
czt,place,47.70289743589744,139.02528205128203,d
czt,place,27.54289743589744,151.63528205128205,d
czt,place,33.06289743589744,152.42528205128207,d
czt,place,45.572897435897445,159.01528205128204,d
czt,place,39.692897435897436,150.90528205128203,d
czt,place,37.412897435897435,151.66528205128208,d
czt,place,24.37289743589744,151.77528205128203,d
czt,place,31.962897435897442,158.29528205128207,d
czt,place,27.44289743589744,164.91528205128208,d
czt,place,31.50289743589744,159.34528205128203,d
czt,place,39.772897435897434,154.93528205128206,d
czt,place,39.522897435897434,164.16528205128208,d
czt,place,52.75289743589744,152.16528205128208,d
czt,place,26.95289743589744,160.40528205128203,d
czt,place,40.22289743589744,163.14528205128204,d
czt,place,40.00289743589744,158.96528205128203,d
czt,place,39.912897435897435,151.90528205128203,d
czt,place,38.48289743589744,163.24528205128206,d
czt,place,35.98289743589744,159.01528205128204,d
czt,place,31.01289743589744,160.47528205128208,d
czt,place,37.552897435897435,154.32528205128204,d
czt,place,36.932897435897445,151.54528205128207,d
czt,place,27.28289743589744,157.46528205128203,d
czt,place,31.86289743589744,155.12528205128206,d
czt,place,40.75289743589744,154.68528205128206,d
czt,place,41.63289743589745,149.41528205128208,d
