subject, mode, x, y, char
qdn,hover,10.283593750000001,139.77511363636364,a
qdn,hover,14.053593750000001,145.52511363636364,a
qdn,hover,15.39359375,141.49511363636364,a
qdn,hover,13.98359375,141.68511363636364,a
qdn,hover,17.063593750000003,144.97511363636363,a
qdn,hover,21.93359375,144.14511363636365,a
qdn,hover,15.883593750000003,142.44511363636363,a
qdn,hover,18.66359375,149.14511363636365,a
qdn,hover,17.70359375,146.80511363636364,a
qdn,hover,19.563593750000003,146.54511363636362,a
qdn,hover,23.813593750000003,152.68511363636364,a
qdn,hover,24.57359375,153.14511363636365,a
qdn,hover,19.71359375,154.13511363636363,a
qdn,hover,26.66359375,151.98511363636365,a
qdn,hover,23.32359375,151.15511363636364,a
qdn,hover,24.243593750000002,149.15511363636364,a
qdn,hover,20.85359375,153.14511363636365,a
qdn,hover,26.27359375,151.05511363636364,a
qdn,hover,30.30359375,157.91511363636363,a
qdn,hover,23.71359375,152.54511363636362,a
qdn,hover,23.833593750000002,153.28511363636363,a
qdn,hover,19.53359375,156.08511363636364,a
qdn,hover,31.71359375,155.88511363636363,a
qdn,hover,35.35359375,157.29511363636362,a
qdn,hover,29.16359375,154.11511363636365,a
qdn,hover,28.23359375,158.71511363636364,a
qdn,hover,31.53359375,158.23511363636365,a
qdn,hover,25.66359375,156.63511363636363,a
qdn,hover,27.403593750000002,157.72511363636363,a
qdn,hover,26.68359375,153.15511363636364,a
qdn,hover,23.633593750000003,141.89511363636365,a
qdn,hover,20.57359375,154.66511363636363,a
qdn,hover,23.23359375,157.61511363636365,a
qdn,hover,11.73359375,139.83511363636364,a
qdn,hover,20.423593750000002,150.56511363636363,a
qdn,hover,20.69359375,139.99511363636364,a
qdn,hover,19.85359375,149.07511363636362,a
qdn,hover,22.00359375,149.82511363636362,a
qdn,hover,25.02359375,148.36511363636365,a
qdn,hover,24.32359375,150.24511363636364,a
qdn,hover,27.28359375,150.41511363636363,a
qdn,hover,22.41359375,150.85511363636363,a
qdn,hover,23.723593750000003,152.34511363636364,a
qdn,hover,22.763593750000002,151.44511363636363,a
qdn,hover,33.233593750000004,148.65511363636364,a
qdn,hover,26.763593750000002,146.29511363636362,a
qdn,hover,23.41359375,151.15511363636364,a
qdn,hover,30.86359375,149.12511363636364,a
qdn,hover,24.87359375,154.51511363636365,a
qdn,hover,27.34359375,153.75511363636363,a
qdn,hover,15.363593750000001,149.58511363636364,a
qdn,hover,18.32359375,150.42511363636365,a
qdn,hover,18.30359375,151.99511363636364,a
qdn,hover,18.87359375,146.96511363636364,a
qdn,hover,18.29359375,150.11511363636365,a
qdn,hover,23.71359375,145.20511363636365,a
qdn,hover,20.00359375,149.15511363636364,a
qdn,hover,16.77359375,149.54511363636362,a
qdn,hover,19.383593750000003,148.40511363636364,a
qdn,hover,6.953593750000001,162.07511363636362,a
qdn,hover,3.713593750000001,154.64511363636365,a
qdn,hover,5.683593750000001,157.63511363636363,a
qdn,hover,15.713593750000001,161.47511363636363,a
qdn,hover,9.293593750000001,158.27511363636364,a
qdn,hover,14.033593750000001,156.07511363636362,a
qdn,hover,19.71359375,157.15511363636364,a
qdn,hover,25.35359375,163.51511363636365,a
qdn,hover,19.71359375,155.03511363636363,a
qdn,hover,17.77359375,156.57511363636362,a
qdn,hover,28.50359375,156.82511363636362,a
qdn,hover,15.713593750000001,156.75511363636363,a
qdn,hover,16.083593750000002,155.22511363636363,a
qdn,hover,11.223593750000001,165.88511363636363,a
qdn,hover,9.41359375,159.97511363636363,a
qdn,hover,15.713593750000001,156.65511363636364,a
