mode,top,name,acc,type,layout
place,4,qdn,0.863095238,personal,bikey
place,0,wyd,0.715116279,personal,bikey
place,1,wyd,0.854651163,personal,bikey
place,2,wyd,0.88372093,personal,bikey
place,3,wyd,0.89244186,personal,bikey
place,4,wyd,0.909883721,personal,bikey
place,0,cai,0.473214286,personal,bikey
place,1,cai,0.613095238,personal,bikey
place,2,cai,0.648809524,personal,bikey
place,3,cai,0.681547619,personal,bikey
place,4,cai,0.693452381,personal,bikey
place,0,czt,0.62170088,personal,bikey
place,1,czt,0.759530792,personal,bikey
place,2,czt,0.806451613,personal,bikey
place,3,czt,0.826979472,personal,bikey
place,4,czt,0.84457478,personal,bikey
place,0,wangchen1,0.75,personal,bikey
place,1,wangchen1,0.846875,personal,bikey
place,2,wangchen1,0.875,personal,bikey
place,3,wangchen1,0.89375,personal,bikey
place,4,wangchen1,0.90625,personal,bikey
place,0,fjy,0.635542169,personal,bikey
place,1,fjy,0.753012048,personal,bikey
place,2,fjy,0.795180723,personal,bikey
place,3,fjy,0.825301205,personal,bikey
place,4,fjy,0.84939759,personal,bikey
hover,0,fsq,0.628654971,personal,bikey
hover,1,fsq,0.766081871,personal,bikey
hover,2,fsq,0.81871345,personal,bikey
hover,3,fsq,0.83625731,personal,bikey
hover,4,fsq,0.850877193,personal,bikey
hover,0,gsh,0.755952381,personal,bikey
hover,1,gsh,0.860119048,personal,bikey
hover,2,gsh,0.883928571,personal,bikey
hover,3,gsh,0.898809524,personal,bikey
hover,4,gsh,0.904761905,personal,bikey
hover,0,lc,0.705357143,personal,bikey
hover,1,lc,0.836309524,personal,bikey
hover,2,lc,0.87797619,personal,bikey
hover,3,lc,0.889880952,personal,bikey
hover,4,lc,0.898809524,personal,bikey
hover,0,luyiqin,0.438066465,personal,bikey
hover,1,luyiqin,0.546827795,personal,bikey
hover,2,luyiqin,0.610271903,personal,bikey
hover,3,luyiqin,0.640483384,personal,bikey
hover,4,luyiqin,0.658610272,personal,bikey
hover,0,lwk,0.668711656,personal,bikey
hover,1,lwk,0.76993865,personal,bikey
hover,2,lwk,0.831288344,personal,bikey
hover,3,lwk,0.849693252,personal,bikey
hover,4,lwk,0.86809816,personal,bikey
hover,0,lxy,0.762048193,personal,bikey
hover,1,lxy,0.864457831,personal,bikey
hover,2,lxy,0.897590361,personal,bikey
hover,3,lxy,0.918674699,personal,bikey
hover,4,lxy,0.924698795,personal,bikey
hover,0,qdn,0.649851632,personal,bikey
hover,1,qdn,0.753709199,personal,bikey
hover,2,qdn,0.798219585,personal,bikey
hover,3,qdn,0.833827893,personal,bikey
hover,4,qdn,0.845697329,personal,bikey
hover,0,wyd,0.692789969,personal,bikey
hover,1,wyd,0.799373041,personal,bikey
hover,2,wyd,0.836990596,personal,bikey
hover,3,wyd,0.858934169,personal,bikey
hover,4,wyd,0.862068966,personal,bikey
hover,0,cai,0.658753709,personal,bikey
hover,1,cai,0.801186944,personal,bikey
hover,2,cai,0.833827893,personal,bikey
