mode,top,name,acc
place,0,wangchen1,0.85
place,1,wangchen1,0.925
place,2,wangchen1,0.953125
place,3,wangchen1,0.965625
place,4,wangchen1,0.96875
hover,0,wangchen1,0.8757575757575757
hover,1,wangchen1,0.9393939393939394
hover,2,wangchen1,0.9727272727272728
hover,3,wangchen1,0.9848484848484849
hover,4,wangchen1,0.9878787878787879
place,0,cai,0.49107142857142855
place,1,cai,0.6160714285714286
place,2,cai,0.6845238095238095
place,3,cai,0.6964285714285714
place,4,cai,0.7291666666666666
hover,0,cai,0.6617210682492581
hover,1,cai,0.8041543026706232
hover,2,cai,0.8694362017804155
hover,3,cai,0.8902077151335311
hover,4,cai,0.9080118694362018
place,0,luyiqin,0.7121212121212122
place,1,luyiqin,0.8303030303030303
place,2,luyiqin,0.8787878787878788
place,3,luyiqin,0.9151515151515152
place,4,luyiqin,0.9272727272727272
hover,0,luyiqin,0.5347432024169184
hover,1,luyiqin,0.649546827794562
hover,2,luyiqin,0.7220543806646526
hover,3,luyiqin,0.7583081570996979
hover,4,luyiqin,0.7824773413897281
place,0,fjy,0.6837349397590361
place,1,fjy,0.8283132530120482
place,2,fjy,0.8765060240963856
place,3,fjy,0.8975903614457831
place,4,fjy,0.927710843373494
hover,0,fjy,0.6696428571428571
hover,1,fjy,0.8154761904761905
hover,2,fjy,0.8482142857142857
hover,3,fjy,0.8869047619047619
hover,4,fjy,0.9017857142857143
place,0,lc,0.7096774193548387
place,1,lc,0.8035190615835777
place,2,lc,0.8475073313782991
place,3,lc,0.8709677419354839
place,4,lc,0.8885630498533724
hover,0,lc,0.8035714285714286
hover,1,lc,0.9047619047619048
hover,2,lc,0.9375
hover,3,lc,0.9464285714285714
hover,4,lc,0.9523809523809523
place,0,lwk,0.7164179104477612
place,1,lwk,0.844776119402985
place,2,lwk,0.8865671641791045
place,3,lwk,0.9194029850746268
place,4,lwk,0.9253731343283582
hover,0,lwk,0.7177914110429447
hover,1,lwk,0.8312883435582822
hover,2,lwk,0.8803680981595092
hover,3,lwk,0.901840490797546
hover,4,lwk,0.9141104294478528
place,0,lxy,0.7938461538461539
place,1,lxy,0.9076923076923077
place,2,lxy,0.9415384615384615
place,3,lxy,0.96
place,4,lxy,0.96
hover,0,lxy,0.8524096385542169
hover,1,lxy,0.9518072289156626
hover,2,lxy,0.9698795180722891
hover,3,lxy,0.9698795180722891
hover,4,lxy,0.9819277108433735
place,0,qdn,0.7142857142857143
place,1,qdn,0.8005952380952381
place,2,qdn,0.8244047619047619
place,3,qdn,0.8511904761904762
place,4,qdn,0.8511904761904762
hover,0,qdn,0.7359050445103857
hover,1,qdn,0.8189910979228486
hover,2,qdn,0.8724035608308606
hover,3,qdn,0.8991097922848664
hover,4,qdn,0.9287833827893175
place,0,wyd,0.7441860465116279
place,1,wyd,0.875
place,2,wyd,0.9156976744186046
place,3,wyd,0.9215116279069767
place,4,wyd,0.9476744186046512
hover,0,wyd,0.780564263322884
hover,1,wyd,0.8589341692789969
hover,2,wyd,0.9216300940438872
hover,3,wyd,0.9435736677115988
hover,4,wyd,0.9498432601880877
place,0,czt,0.6334310850439883
place,1,czt,0.7478005865102639
place,2,czt,0.8064516129032258
place,3,czt,0.8387096774193549
place,4,czt,0.8768328445747801
hover,0,czt,0.6330275229357798
hover,1,czt,0.7492354740061162
hover,2,czt,0.8195718654434251
hover,3,czt,0.8807339449541285
hover,4,czt,0.8929663608562691
place,0,gsh,0.8470948012232415
place,1,gsh,0.944954128440367
place,2,gsh,0.9755351681957186
place,3,gsh,0.9847094801223242
place,4,gsh,0.9877675840978594
hover,0,gsh,0.8690476190476191
hover,1,gsh,0.9583333333333334
hover,2,gsh,0.9791666666666666
hover,3,gsh,0.9851190476190477
hover,4,gsh,0.9910714285714286
place,0,fsq,0.6666666666666666
place,1,fsq,0.8023598820058997
place,2,fsq,0.8525073746312685
place,3,fsq,0.8790560471976401
place,4,fsq,0.8997050147492626
hover,0,fsq,0.6842105263157895
hover,1,fsq,0.8216374269005848
hover,2,fsq,0.8713450292397661
hover,3,fsq,0.9005847953216374
hover,4,fsq,0.9152046783625731
