mode,top,name,acc,per
place,0,qdn,0.764880952,general
place,1,qdn,0.866071429,general
place,2,qdn,0.898809524,general
place,3,qdn,0.916666667,general
place,4,qdn,0.93452381,general
hover,0,wyd,0.755485893,general
hover,1,wyd,0.868338558,general
hover,2,wyd,0.905956113,general
hover,3,wyd,0.927899687,general
hover,4,wyd,0.94984326,general
place,0,wyd,0.729651163,general
place,1,wyd,0.86627907,general
place,2,wyd,0.918604651,general
place,3,wyd,0.936046512,general
place,4,wyd,0.956395349,general
hover,0,czt,0.672782875,general
hover,1,czt,0.837920489,general
hover,2,czt,0.886850153,general
hover,3,czt,0.917431193,general
hover,4,czt,0.926605505,general
place,0,czt,0.668621701,general
place,1,czt,0.818181818,general
place,2,czt,0.879765396,general
place,3,czt,0.917888563,general
place,4,czt,0.93255132,general
hover,0,gsh,0.818452381,general
hover,1,gsh,0.919642857,general
hover,2,gsh,0.946428571,general
hover,3,gsh,0.955357143,general
hover,4,gsh,0.967261905,general
place,0,gsh,0.847094801,general
place,1,gsh,0.948012232,general
place,2,gsh,0.972477064,general
place,3,gsh,0.972477064,general
place,4,gsh,0.972477064,general
hover,0,fsq,0.801169591,general
hover,1,fsq,0.883040936,general
hover,2,fsq,0.921052632,general
hover,3,fsq,0.947368421,general
hover,4,fsq,0.956140351,general
place,0,fsq,0.713864307,general
place,1,fsq,0.867256637,general
place,2,fsq,0.90560472,general
place,3,fsq,0.91740413,general
place,4,fsq,0.932153392,general
hover,0,wangchen1,0.793939394,general
hover,1,wangchen1,0.890909091,general
hover,2,wangchen1,0.921212121,general
hover,3,wangchen1,0.939393939,general
hover,4,wangchen1,0.948484848,general
place,0,wangchen1,0.7875,general
place,1,wangchen1,0.878125,general
place,2,wangchen1,0.91875,general
place,3,wangchen1,0.9375,general
place,4,wangchen1,0.95,general
