mode,top,name,acc,k
hover,4,luyiqin,0.782477341,0.4
place,0,fjy,0.68373494,0.4
place,1,fjy,0.828313253,0.4
place,2,fjy,0.876506024,0.4
place,3,fjy,0.897590361,0.4
place,4,fjy,0.927710843,0.4
hover,0,fjy,0.669642857,0.4
hover,1,fjy,0.81547619,0.4
hover,2,fjy,0.848214286,0.4
hover,3,fjy,0.886904762,0.4
hover,4,fjy,0.901785714,0.4
place,0,lc,0.709677419,0.4
place,1,lc,0.803519062,0.4
place,2,lc,0.847507331,0.4
place,3,lc,0.870967742,0.4
place,4,lc,0.88856305,0.4
hover,0,lc,0.803571429,0.4
hover,1,lc,0.904761905,0.4
hover,2,lc,0.9375,0.4
hover,3,lc,0.946428571,0.4
hover,4,lc,0.952380952,0.4
place,0,lwk,0.71641791,0.4
place,1,lwk,0.844776119,0.4
place,2,lwk,0.886567164,0.4
place,3,lwk,0.919402985,0.4
place,4,lwk,0.925373134,0.4
hover,0,lwk,0.717791411,0.4
hover,1,lwk,0.831288344,0.4
hover,2,lwk,0.880368098,0.4
hover,3,lwk,0.901840491,0.4
hover,4,lwk,0.914110429,0.4
place,0,lxy,0.793846154,0.4
place,1,lxy,0.907692308,0.4
place,2,lxy,0.941538462,0.4
place,3,lxy,0.96,0.4
place,4,lxy,0.96,0.4
hover,0,lxy,0.852409639,0.4
hover,1,lxy,0.951807229,0.4
hover,2,lxy,0.969879518,0.4
hover,3,lxy,0.969879518,0.4
hover,4,lxy,0.981927711,0.4
place,0,qdn,0.714285714,0.4
place,1,qdn,0.800595238,0.4
place,2,qdn,0.824404762,0.4
place,3,qdn,0.851190476,0.4
place,4,qdn,0.851190476,0.4
hover,0,qdn,0.735905045,0.4
hover,1,qdn,0.818991098,0.4
hover,2,qdn,0.872403561,0.4
hover,3,qdn,0.899109792,0.4
hover,4,qdn,0.928783383,0.4
place,0,wyd,0.744186047,0.4
place,1,wyd,0.875,0.4
place,2,wyd,0.915697674,0.4
place,3,wyd,0.921511628,0.4
place,4,wyd,0.947674419,0.4
hover,0,wyd,0.780564263,0.4
hover,1,wyd,0.858934169,0.4
hover,2,wyd,0.921630094,0.4
hover,3,wyd,0.943573668,0.4
hover,4,wyd,0.94984326,0.4
place,0,czt,0.633431085,0.4
place,1,czt,0.747800587,0.4
place,2,czt,0.806451613,0.4
place,3,czt,0.838709677,0.4
place,4,czt,0.876832845,0.4
hover,0,czt,0.633027523,0.4
hover,1,czt,0.749235474,0.4
hover,2,czt,0.819571865,0.4
hover,3,czt,0.880733945,0.4
hover,4,czt,0.892966361,0.4
place,0,gsh,0.847094801,0.4
place,1,gsh,0.944954128,0.4
place,2,gsh,0.975535168,0.4
place,3,gsh,0.98470948,0.4
place,4,gsh,0.987767584,0.4
hover,0,gsh,0.869047619,0.4
hover,1,gsh,0.958333333,0.4
hover,2,gsh,0.979166667,0.4
hover,3,gsh,0.985119048,0.4
hover,4,gsh,0.991071429,0.4
place,0,fsq,0.666666667,0.4
place,1,fsq,0.802359882,0.4
place,2,fsq,0.852507375,0.4
place,3,fsq,0.879056047,0.4
place,4,fsq,0.899705015,0.4
hover,0,fsq,0.684210526,0.4
hover,1,fsq,0.821637427,0.4
hover,2,fsq,0.871345029,0.4
hover,3,fsq,0.900584795,0.4
hover,4,fsq,0.915204678,0.4
place,0,wangchen1,0.85,0.3
place,1,wangchen1,0.934375,0.3
place,2,wangchen1,0.95625,0.3
place,3,wangchen1,0.965625,0.3
place,4,wangchen1,0.975,0.3
hover,0,wangchen1,0.884848485,0.3
hover,1,wangchen1,0.951515152,0.3
hover,2,wangchen1,0.972727273,0.3
hover,3,wangchen1,0.981818182,0.3
hover,4,wangchen1,0.987878788,0.3
place,0,cai,0.479166667,0.3
place,1,cai,0.625,0.3
place,2,cai,0.675595238,0.3
place,3,cai,0.702380952,0.3
place,4,cai,0.744047619,0.3
hover,0,cai,0.673590504,0.3
hover,1,cai,0.81305638,0.3
hover,2,cai,0.869436202,0.3
hover,3,cai,0.893175074,0.3
hover,4,cai,0.908011869,0.3
place,0,luyiqin,0.718181818,0.3
place,1,luyiqin,0.833333333,0.3
place,2,luyiqin,0.887878788,0.3
place,3,luyiqin,0.915151515,0.3
place,4,luyiqin,0.93030303,0.3
hover,0,luyiqin,0.540785498,0.3
hover,1,luyiqin,0.652567976,0.3
hover,2,luyiqin,0.712990937,0.3
hover,3,luyiqin,0.746223565,0.3
hover,4,luyiqin,0.779456193,0.3
place,0,fjy,0.680722892,0.3
place,1,fjy,0.810240964,0.3
place,2,fjy,0.873493976,0.3
place,3,fjy,0.909638554,0.3
place,4,fjy,0.924698795,0.3
hover,0,fjy,0.669642857,0.3
hover,1,fjy,0.81547619,0.3
hover,2,fjy,0.866071429,0.3
hover,3,fjy,0.895833333,0.3
hover,4,fjy,0.904761905,0.3
place,0,lc,0.712609971,0.3
place,1,lc,0.809384164,0.3
place,2,lc,0.850439883,0.3
place,3,lc,0.859237537,0.3
place,4,lc,0.894428152,0.3
hover,0,lc,0.800595238,0.3
hover,1,lc,0.910714286,0.3
hover,2,lc,0.943452381,0.3
hover,3,lc,0.949404762,0.3
hover,4,lc,0.955357143,0.3
place,0,lwk,0.71641791,0.3
place,1,lwk,0.850746269,0.3
place,2,lwk,0.88358209,0.3
place,3,lwk,0.91641791,0.3
place,4,lwk,0.928358209,0.3
hover,0,lwk,0.699386503,0.3
hover,1,lwk,0.834355828,0.3
hover,2,lwk,0.877300613,0.3
hover,3,lwk,0.901840491,0.3
hover,4,lwk,0.914110429,0.3
place,0,lxy,0.787692308,0.3
place,1,lxy,0.886153846,0.3
place,2,lxy,0.929230769,0.3
place,3,lxy,0.947692308,0.3
place,4,lxy,0.953846154,0.3
hover,0,lxy,0.846385542,0.3
hover,1,lxy,0.951807229,0.3
hover,2,lxy,0.969879518,0.3
hover,3,lxy,0.972891566,0.3
hover,4,lxy,0.987951807,0.3
place,0,qdn,0.693452381,0.3
place,1,qdn,0.782738095,0.3
