mode,top,name,acc,gene-pers,touch-model,,
hover,0,cai,0.430267062,general,absolute,,
hover,1,cai,0.540059347,general,absolute,,
hover,2,cai,0.623145401,general,absolute,,
hover,3,cai,0.658753709,general,absolute,,
hover,4,cai,0.697329377,general,absolute,,
place,0,luyiqin,0.43030303,general,absolute,,
place,1,luyiqin,0.533333333,general,absolute,,
place,2,luyiqin,0.575757576,general,absolute,,
place,3,luyiqin,0.639393939,general,absolute,,
place,4,luyiqin,0.693939394,general,absolute,,
hover,0,luyiqin,0.335347432,general,absolute,,
hover,1,luyiqin,0.444108761,general,absolute,,
hover,2,luyiqin,0.49244713,general,absolute,,
hover,3,luyiqin,0.52265861,general,absolute,,
hover,4,luyiqin,0.549848943,general,absolute,,
place,0,fjy,0.545180723,general,absolute,,
place,1,fjy,0.707831325,general,absolute,,
place,2,fjy,0.756024096,general,absolute,,
place,3,fjy,0.807228916,general,absolute,,
place,4,fjy,0.834337349,general,absolute,,
hover,0,fjy,0.62202381,general,absolute,,
hover,1,fjy,0.755952381,general,absolute,,
hover,2,fjy,0.806547619,general,absolute,,
hover,3,fjy,0.845238095,general,absolute,,
hover,4,fjy,0.854166667,general,absolute,,
place,0,lc,0.536656891,general,absolute,,
place,1,lc,0.653958944,general,absolute,,
place,2,lc,0.724340176,general,absolute,,
place,3,lc,0.771260997,general,absolute,,
place,4,lc,0.803519062,general,absolute,,
hover,0,lc,0.818452381,general,absolute,,
hover,1,lc,0.913690476,general,absolute,,
hover,2,lc,0.9375,general,absolute,,
hover,3,lc,0.958333333,general,absolute,,
hover,4,lc,0.964285714,general,absolute,,
place,0,lwk,0.495522388,general,absolute,,
place,1,lwk,0.620895522,general,absolute,,
place,2,lwk,0.686567164,general,absolute,,
place,3,lwk,0.749253731,general,absolute,,
place,4,lwk,0.785074627,general,absolute,,
hover,0,lwk,0.389570552,general,absolute,,
hover,1,lwk,0.521472393,general,absolute,,
hover,2,lwk,0.585889571,general,absolute,,
hover,3,lwk,0.634969325,general,absolute,,
hover,4,lwk,0.67791411,general,absolute,,
place,0,lxy,0.098461538,general,absolute,,
place,1,lxy,0.184615385,general,absolute,,
place,2,lxy,0.233846154,general,absolute,,
place,3,lxy,0.258461538,general,absolute,,
place,4,lxy,0.316923077,general,absolute,,
hover,0,lxy,0.521084337,general,absolute,,
hover,1,lxy,0.635542169,general,absolute,,
hover,2,lxy,0.695783133,general,absolute,,
hover,3,lxy,0.774096386,general,absolute,,
hover,4,lxy,0.81626506,general,absolute,,
place,0,qdn,0.410714286,general,absolute,,
place,1,qdn,0.532738095,general,absolute,,
place,2,qdn,0.580357143,general,absolute,,
place,3,qdn,0.601190476,general,absolute,,
place,4,qdn,0.62202381,general,absolute,,
hover,0,qdn,0.703264095,general,absolute,,
hover,1,qdn,0.804154303,general,absolute,,
hover,2,qdn,0.866468843,general,absolute,,
hover,3,qdn,0.90504451,general,absolute,,
hover,4,qdn,0.919881306,general,absolute,,
place,0,wyd,0.186046512,general,absolute,,
place,1,wyd,0.261627907,general,absolute,,
place,2,wyd,0.328488372,general,absolute,,
place,3,wyd,0.389534884,general,absolute,,
place,4,wyd,0.427325581,general,absolute,,
hover,0,wyd,0.65830721,general,absolute,,
hover,1,wyd,0.752351097,general,absolute,,
hover,2,wyd,0.802507837,general,absolute,,
hover,3,wyd,0.843260188,general,absolute,,
hover,4,wyd,0.87460815,general,absolute,,
place,0,czt,0.287390029,general,absolute,,
place,1,czt,0.387096774,general,absolute,,
place,2,czt,0.425219941,general,absolute,,
place,3,czt,0.46627566,general,absolute,,
place,4,czt,0.513196481,general,absolute,,
hover,0,czt,0.422018349,general,absolute,,
hover,1,czt,0.525993884,general,absolute,,
hover,2,czt,0.605504587,general,absolute,,
hover,3,czt,0.654434251,general,absolute,,
hover,4,czt,0.688073394,general,absolute,,
place,0,gsh,0.874617737,general,absolute,,
place,1,gsh,0.935779817,general,absolute,,
place,2,gsh,0.972477064,general,absolute,,
place,3,gsh,0.972477064,general,absolute,,
place,4,gsh,0.978593272,general,absolute,,
hover,0,gsh,0.827380952,general,absolute,,
hover,1,gsh,0.898809524,general,absolute,,
hover,2,gsh,0.943452381,general,absolute,,
hover,3,gsh,0.961309524,general,absolute,,
hover,4,gsh,0.970238095,general,absolute,,
place,0,fsq,0.324483776,general,absolute,,
place,1,fsq,0.433628319,general,absolute,,
place,2,fsq,0.495575221,general,absolute,,
place,3,fsq,0.569321534,general,absolute,,
place,4,fsq,0.598820059,general,absolute,,
hover,0,fsq,0.687134503,general,absolute,,
hover,1,fsq,0.815789474,general,absolute,,
hover,2,fsq,0.862573099,general,absolute,,
hover,3,fsq,0.888888889,general,absolute,,
hover,4,fsq,0.906432749,general,absolute,,
hover,0,wangchen1,0.8,general,relative,,
hover,1,wangchen1,0.896969697,general,relative,,
hover,2,wangchen1,0.945454545,general,relative,,
hover,3,wangchen1,0.948484848,general,relative,,
hover,4,wangchen1,0.948484848,general,relative,,
place,0,wangchen1,0.771875,general,relative,,
place,1,wangchen1,0.875,general,relative,,
place,2,wangchen1,0.915625,general,relative,,
place,3,wangchen1,0.921875,general,relative,,
place,4,wangchen1,0.94375,general,relative,,
hover,0,cai,0.771513353,general,relative,,
hover,1,cai,0.896142433,general,relative,,
hover,2,cai,0.925816024,general,relative,,
hover,3,cai,0.934718101,general,relative,,
hover,4,cai,0.952522255,general,relative,,
place,0,cai,0.607142857,general,relative,,
place,1,cai,0.776785714,general,relative,,
place,2,cai,0.842261905,general,relative,,
place,3,cai,0.869047619,general,relative,,
place,4,cai,0.892857143,general,relative,,
hover,0,luyiqin,0.625377644,general,relative,,
hover,1,luyiqin,0.779456193,general,relative,,
hover,2,luyiqin,0.839879154,general,relative,,
hover,3,luyiqin,0.873111782,general,relative,,
hover,4,luyiqin,0.903323263,general,relative,,
place,0,luyiqin,0.7,general,relative,,
place,1,luyiqin,0.812121212,general,relative,,
place,2,luyiqin,0.845454545,general,relative,,
place,3,luyiqin,0.887878788,general,relative,,
place,4,luyiqin,0.906060606,general,relative,,
hover,0,fjy,0.75,general,relative,,
hover,1,fjy,0.87202381,general,relative,,
hover,2,fjy,0.910714286,general,relative,,
hover,3,fjy,0.922619048,general,relative,,
hover,4,fjy,0.928571429,general,relative,,
place,0,fjy,0.756024096,general,relative,,
place,1,fjy,0.876506024,general,relative,,
place,2,fjy,0.918674699,general,relative,,
place,3,fjy,0.93373494,general,relative,,
place,4,fjy,0.939759036,general,relative,,
hover,0,lc,0.830357143,general,relative,,
hover,1,lc,0.928571429,general,relative,,
hover,2,lc,0.952380952,general,relative,,
hover,3,lc,0.961309524,general,relative,,
hover,4,lc,0.970238095,general,relative,,
place,0,lc,0.788856305,general,relative,,
place,1,lc,0.900293255,general,relative,,
place,2,lc,0.926686217,general,relative,,
place,3,lc,0.944281525,general,relative,,
place,4,lc,0.953079179,general,relative,,
hover,0,lwk,0.745398773,general,relative,,
hover,1,lwk,0.877300613,general,relative,,
hover,2,lwk,0.914110429,general,relative,,
hover,3,lwk,0.929447853,general,relative,,
hover,4,lwk,0.941717791,general,relative,,
place,0,lwk,0.68358209,general,relative,,
place,1,lwk,0.841791045,general,relative,,
place,2,lwk,0.904477612,general,relative,,
place,3,lwk,0.92238806,general,relative,,
place,4,lwk,0.940298507,general,relative,,
hover,0,lxy,0.846385542,general,relative,,
hover,1,lxy,0.936746988,general,relative,,
hover,2,lxy,0.951807229,general,relative,,
hover,3,lxy,0.963855422,general,relative,,
hover,4,lxy,0.963855422,general,relative,,
place,0,lxy,0.812307692,general,relative,,
place,1,lxy,0.916923077,general,relative,,
place,2,lxy,0.944615385,general,relative,,
place,3,lxy,0.96,general,relative,,
place,4,lxy,0.96,general,relative,,
hover,0,qdn,0.768545994,general,relative,,
hover,1,qdn,0.902077151,general,relative,,
hover,2,qdn,0.928783383,general,relative,,
hover,3,qdn,0.93768546,general,relative,,
hover,4,qdn,0.949554896,general,relative,,
place,0,qdn,0.8125,general,relative,,
place,1,qdn,0.889880952,general,relative,,
place,2,qdn,0.922619048,general,relative,,
place,3,qdn,0.931547619,general,relative,,
place,4,qdn,0.946428571,general,relative,,
