mode,top,name,acc
place,0,wangchen1,0.803125
place,1,wangchen1,0.909375
place,2,wangchen1,0.934375
place,3,wangchen1,0.965625
place,4,wangchen1,0.971875
hover,0,wangchen1,0.8303030303030303
hover,1,wangchen1,0.9181818181818182
hover,2,wangchen1,0.9515151515151515
hover,3,wangchen1,0.9575757575757575
hover,4,wangchen1,0.9666666666666667
place,0,cai,0.4523809523809524
place,1,cai,0.6011904761904762
place,2,cai,0.6696428571428571
place,3,cai,0.6994047619047619
place,4,cai,0.7291666666666666
hover,0,cai,0.5786350148367952
hover,1,cai,0.7388724035608308
hover,2,cai,0.7922848664688428
hover,3,cai,0.8338278931750742
hover,4,cai,0.8664688427299704
place,0,luyiqin,0.6787878787878788
place,1,luyiqin,0.8090909090909091
place,2,luyiqin,0.8606060606060606
place,3,luyiqin,0.8939393939393939
place,4,luyiqin,0.9151515151515152
hover,0,luyiqin,0.5347432024169184
hover,1,luyiqin,0.6435045317220544
hover,2,luyiqin,0.6918429003021148
hover,3,luyiqin,0.743202416918429
hover,4,luyiqin,0.7764350453172205
place,0,fjy,0.6837349397590361
place,1,fjy,0.8102409638554217
place,2,fjy,0.8644578313253012
place,3,fjy,0.8795180722891566
place,4,fjy,0.891566265060241
hover,0,fjy,0.6220238095238095
hover,1,fjy,0.7529761904761905
hover,2,fjy,0.8095238095238095
hover,3,fjy,0.8422619047619048
hover,4,fjy,0.8601190476190477
place,0,lc,0.6686217008797654
place,1,lc,0.7683284457478006
place,2,lc,0.8240469208211144
place,3,lc,0.8563049853372434
place,4,lc,0.8651026392961877
hover,0,lc,0.7708333333333334
hover,1,lc,0.8601190476190477
hover,2,lc,0.9107142857142857
hover,3,lc,0.9255952380952381
hover,4,lc,0.9404761904761905
place,0,lwk,0.6805970149253732
place,1,lwk,0.8238805970149253
place,2,lwk,0.8895522388059701
place,3,lwk,0.9164179104477612
place,4,lwk,0.9313432835820895
hover,0,lwk,0.6993865030674846
hover,1,lwk,0.803680981595092
hover,2,lwk,0.8588957055214724
hover,3,lwk,0.8957055214723927
hover,4,lwk,0.9141104294478528
place,0,lxy,0.7692307692307693
place,1,lxy,0.8892307692307693
place,2,lxy,0.9107692307692308
place,3,lxy,0.9353846153846154
place,4,lxy,0.9507692307692308
hover,0,lxy,0.8343373493975904
hover,1,lxy,0.9307228915662651
hover,2,lxy,0.9578313253012049
hover,3,lxy,0.9668674698795181
hover,4,lxy,0.9789156626506024
place,0,qdn,0.6964285714285714
place,1,qdn,0.7916666666666666
place,2,qdn,0.8214285714285714
place,3,qdn,0.8452380952380952
place,4,qdn,0.8541666666666666
hover,0,qdn,0.685459940652819
hover,1,qdn,0.798219584569733
hover,2,qdn,0.8456973293768546
hover,3,qdn,0.8813056379821959
hover,4,qdn,0.9020771513353115
place,0,wyd,0.7209302325581395
place,1,wyd,0.8488372093023255
place,2,wyd,0.8866279069767442
place,3,wyd,0.9040697674418605
place,4,wyd,0.9302325581395349
hover,0,wyd,0.7523510971786834
hover,1,wyd,0.8369905956112853
hover,2,wyd,0.8808777429467085
hover,3,wyd,0.9122257053291536
hover,4,wyd,0.9341692789968652
place,0,czt,0.5689149560117303
place,1,czt,0.6891495601173021
place,2,czt,0.7771260997067448
place,3,czt,0.8123167155425219
place,4,czt,0.844574780058651
hover,0,czt,0.5779816513761468
hover,1,czt,0.7125382262996942
hover,2,czt,0.7859327217125383
hover,3,czt,0.8318042813455657
hover,4,czt,0.8623853211009175
place,0,gsh,0.8165137614678899
place,1,gsh,0.9113149847094801
place,2,gsh,0.9602446483180428
place,3,gsh,0.9847094801223242
place,4,gsh,0.9877675840978594
hover,0,gsh,0.8333333333333334
hover,1,gsh,0.9315476190476191
hover,2,gsh,0.9761904761904762
hover,3,gsh,0.9851190476190477
hover,4,gsh,0.9880952380952381
place,0,fsq,0.6371681415929203
place,1,fsq,0.7610619469026548
place,2,fsq,0.8112094395280236
place,3,fsq,0.8377581120943953
place,4,fsq,0.8584070796460177
hover,0,fsq,0.6695906432748538
hover,1,fsq,0.783625730994152
hover,2,fsq,0.8421052631578947
hover,3,fsq,0.8713450292397661
hover,4,fsq,0.8830409356725146
