subject, mode, dx, dy
lwk,hover,9.826818181818183,6.353939393939385
cai,hover,-4.486549019607843,10.634666666666675
wyd,hover,2.7665860215053755,-4.9549865591397975
czt,hover,6.039269480519486,10.40990259740262
gsh,hover,-1.2424780058651024,-3.5033137829912135
lc,hover,-1.7309572072072115,0.25556306306307874
fsq,hover,2.4959166666666697,0.4663333333333384
lxy,hover,2.051346153846154,14.00253205128206
fjy,hover,1.189283819628649,-5.960384615384598
qdn,hover,-0.28640624999999886,-2.8448863636363626
wangchen1,hover,0.0038333333333291364,0.0046666666666652645
luyiqin,hover,2.14197368421053,8.080447368421048
