num,whole,name,mode,blk,err,acc
1,36,cc1,qwerty,1,0.027777778,0.972222222
1,35,cc1,qwerty,2,0.028571429,0.971428571
0,38,cc1,qwerty,3,0,1
0,36,cc1,qwerty,4,0,1
0,34,cc1,qwerty,5,0,1
0,34,cc1,sensel,1,0,1
0,37,cc1,sensel,2,0,1
1,39,cc1,sensel,3,0.025641026,0.974358974
0,32,cc1,sensel,4,0,1
1,37,cc1,sensel,5,0.027027027,0.972972973
0,37,cc1,personal,1,0,1
0,35,cc1,personal,2,0,1
0,34,cc1,personal,3,0,1
0,37,cc1,personal,4,0,1
0,36,cc1,personal,5,0,1
